flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,total_bytes,packets_per_sec,bytes_per_sec,label,is_attack
1,2026-02-02 14:52:55.208244,192.168.2.233,65059,92.239.24.170,3389,TCP,4227.619021573287,1,1,578,718,1296,0.4730795253295341,306.5555324135381,BENIGN,False
2,2026-02-02 14:52:55.208252,192.168.2.85,64608,19.130.98.42,443,TCP,1833.382679592649,22,10,2310,3230,5540,17.454075658176247,3021.736848321763,BENIGN,False
3,2026-02-02 14:52:55.208257,192.168.2.164,52782,172.16.0.109,443,TCP,2170.341180614739,2,12,3366,1260,4626,6.450598700815585,2131.4621135694924,BENIGN,False
4,2026-02-02 14:52:55.208263,10.0.0.171,49365,69.202.194.59,443,TCP,436.30122339135926,9,10,1449,4620,6069,43.547895310293754,13910.11455990383,BENIGN,False
5,2026-02-02 14:52:55.208271,192.168.2.137,57739,192.168.1.89,443,UDP,729.5362529246486,1,4,390,3908,4298,6.853668998566454,5891.413871167724,BENIGN,False
6,2026-02-02 14:52:55.208277,192.168.2.253,61039,208.67.222.222,443,TCP,8249.22056568661,5,3,7635,504,8139,0.9697885923037062,986.638669094983,BENIGN,False
7,2026-02-02 14:52:55.208282,172.16.0.43,49346,172.16.0.217,22,UDP,2003.2201541557733,4,3,2232,213,2445,3.494373788860987,1220.5348448235877,BENIGN,False
8,2026-02-02 14:52:55.208287,192.168.1.9,53047,10.0.0.137,55980,UDP,1208.5537361543365,4,2,296,42,338,4.964611684617537,279.6731249001213,BENIGN,False
9,2026-02-02 14:52:55.208294,172.16.0.203,53720,176.91.102.189,25,UDP,196.35182941582508,7,1,5852,443,6295,40.743190546281895,32059.79806110557,BENIGN,False
10,2026-02-02 14:52:55.208299,192.168.2.227,51035,97.34.30.141,31368,TCP,5274.427515765704,5,8,585,3448,4033,2.464722467252022,764.6327469559542,BENIGN,False
11,2026-02-02 14:52:55.208305,10.0.0.24,59610,208.67.222.222,80,TCP,3771.1081294098053,13,0,9971,0,9971,3.4472625960037258,2644.0504111348578,BENIGN,False
12,2026-02-02 14:52:55.208310,10.0.0.168,50608,46.6.7.163,443,TCP,5938.504505496335,6,29,678,4118,4796,5.8937397399641664,807.6107369390899,BENIGN,False
13,2026-02-02 14:52:55.208315,192.168.2.203,60108,10.0.0.121,443,TCP,1291.6254677251252,1,18,41,6714,6755,14.71014661352547,5229.8442302297135,BENIGN,False
14,2026-02-02 14:52:55.208321,192.168.2.74,54005,94.206.205.164,80,TCP,4982.71641949413,4,0,3692,0,3692,0.8027749651476452,740.9612928312765,BENIGN,False
15,2026-02-02 14:52:55.208326,192.168.2.88,61091,8.8.8.8,443,TCP,4011.0822153626937,12,8,7116,1336,8452,4.98618550459992,2107.161994243926,BENIGN,False
16,2026-02-02 14:52:55.208332,192.168.2.33,55822,143.162.153.174,22,TCP,2658.463878552725,2,27,340,1701,2041,10.908555212639444,767.736592724038,BENIGN,False
17,2026-02-02 14:52:55.208337,10.0.0.193,63521,8.8.8.8,22,TCP,692.5211972320694,28,3,18508,2940,21448,44.763972747554256,30970.89314482399,BENIGN,False
18,2026-02-02 14:52:55.208343,10.0.0.142,53852,9.238.29.4,80,TCP,6036.34940547581,4,22,2664,2376,5040,4.3072390700933205,834.9417274334745,BENIGN,False
