flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,total_bytes,packets_per_sec,bytes_per_sec,label,is_attack
1,2026-02-02 14:52:55.150164,192.168.1.197,53577,28.19.194.138,80,TCP,1685.3374133776547,2,6,1270,1320,2590,4.746823951393132,1536.7842542635267,BENIGN,False
2,2026-02-02 14:52:55.150173,10.0.0.180,61525,8.8.8.8,22,UDP,3950.9820688147183,6,3,2274,909,3183,2.27791466608705,805.62248690612,BENIGN,False
3,2026-02-02 14:52:55.150181,10.0.0.188,64779,12.47.72.33,3389,UDP,1006.2180612636785,7,2,1967,544,2511,8.94438327681892,2495.4829342324783,BENIGN,False
4,2026-02-02 14:52:55.150187,192.168.1.197,59482,134.247.105.211,53,TCP,2774.151324281471,3,4,3357,4616,7973,2.523294219291754,2874.032115773308,BENIGN,False
5,2026-02-02 14:52:55.150194,172.16.0.176,51858,204.248.214.96,443,TCP,3484.1364782650985,9,0,1710,0,1710,2.583136469005797,490.7959291111015,BENIGN,False
6,2026-02-02 14:52:55.150199,10.0.0.44,64119,10.0.0.87,48413,TCP,10061.126464910403,2,5,4236,1465,5701,0.6957471436636331,566.6363522894818,BENIGN,False
7,2026-02-02 14:52:55.150204,10.0.0.5,56660,1.1.1.1,22,UDP,949.0580798373738,5,6,2805,4428,7233,11.5904392298993,7621.240631805603,BENIGN,False
8,2026-02-02 14:52:55.150209,192.168.1.164,65005,172.217.14.206,80,ICMP,43.430233279012036,2,0,1442,0,1442,46.050869382884805,33202.67682505994,BENIGN,False
9,2026-02-02 14:52:55.150214,172.16.0.97,60687,172.16.0.12,80,TCP,1079.7410038589883,8,0,8656,0,8656,7.409184213073362,8016.737318545377,BENIGN,False
10,2026-02-02 14:52:55.150220,172.16.0.163,61520,28.32.181.182,80,TCP,6426.210008693901,1,7,406,483,889,1.2449017366654602,138.33970548694927,BENIGN,False
11,2026-02-02 14:52:55.150226,172.16.0.8,54521,68.241.16.193,80,TCP,830.6892029976798,11,3,6468,969,7437,16.85347534249714,8952.806865867946,BENIGN,False
12,2026-02-02 14:52:55.150231,172.16.0.17,51024,192.168.2.96,53,TCP,2462.8871483338116,25,14,5525,238,5763,15.835073899502142,2339.936689303355,BENIGN,False
13,2026-02-02 14:52:55.150236,172.16.0.138,61907,10.0.0.38,443,UDP,363.50978176308723,7,2,2513,878,3391,24.758618478843665,9328.497251306542,BENIGN,False
14,2026-02-02 14:52:55.150241,10.0.0.133,53608,208.67.222.222,80,UDP,111.94714333937256,6,2,5298,330,5628,71.46229694979941,50273.72590418388,BENIGN,False
15,2026-02-02 14:52:55.150247,192.168.1.90,53653,190.230.155.110,443,UDP,803.7884488677589,2,4,2320,6576,8896,7.464650690678355,11067.588757379108,BENIGN,False
16,2026-02-02 14:52:55.150253,192.168.1.140,57820,58.174.47.70,22,UDP,297.78906196944206,8,2,3168,78,3246,33.580817018142056,10900.333204088913,BENIGN,False
17,2026-02-02 14:52:55.150257,192.168.1.245,55514,151.101.1.140,2148,UDP,352.20036336650634,5,4,910,1748,2658,25.553636327837715,7546.840595488072,BENIGN,False
18,2026-02-02 14:52:55.150263,192.168.2.22,65010,22.174.68.238,9900,UDP,118.09927871462881,7,6,287,4704,4991,110.0768788894365,42261.05404132135,BENIGN,False
19,2026-02-02 14:52:55.150268,172.16.0.199,53284,172.217.14.206,56096,TCP,8615.948605841606,24,1,1008,59,1067,2.9015957666054346,123.84010731871996,BENIGN,False
20,2026-02-02 14:52:55.150273,192.168.1.230,64250,154.253.175.179,443,TCP,2548.953381734385,5,6,325,534,859,4.315496736356656,337.0010633209425,BENIGN,False
21,2026-02-02 14:52:55.150279,172.16.0.81,51198,198.229.175.208,80,UDP,1669.4233388383202,2,4,476,1764,2240,3.594055420463417,1341.7806903063422,BENIGN,False
22,2026-02-02 14:52:55.150284,172.16.0.129,61227,10.0.0.213,25692,UDP,29.758136687919567,4,1,2116,2217,4333,168.02127271731263,145607.23493682314,BENIGN,False
23,2026-02-02 14:52:55.150289,10.0.0.32,64407,129.164.28.242,443,TCP,7335.2956169964655,8,0,4808,0,4808,1.0906172590322551,655.4609726783854,BENIGN,False
24,2026-02-02 14:52:55.150295,10.0.0.63,58163,69.224.176.64,443,UDP,50.34335690293424,6,3,13536,321,13857,178.77234562154194,275249.82147530076,BENIGN,False
25,2026-02-02 14:52:55.150300,192.168.1.47,50553,20.190.128.0,443,TCP,12434.483118696913,25,0,7775,0,7775,2.0105379340142533,625.2772974784327,BENIGN,False
26,2026-02-02 14:52:55.150305,192.168.2.84,58612,57.16.237.130,51768,UDP,376.39518756164017,2,3,358,4728,5086,13.283910541978377,13512.393803300405,BENIGN,False
27,2026-02-02 14:52:55.150310,192.168.1.83,54657,172.16.0.59,80,TCP,3877.2644788550224,9,0,2979,0,2979,2.3212241643772904,768.3251984088831,BENIGN,False
28,2026-02-02 14:52:55.150315,10.0.0.109,57981,192.168.1.156,80,TCP,2351.502586425527,1,4,1648,668,2316,2.1263000214685714,984.9021699442424,BENIGN,False
29,2026-02-02 14:52:55.150321,192.168.2.78,58304,120.114.144.136,443,TCP,8020.330164623833,16,1,4672,502,5174,2.119613488604721,645.1105994141662,BENIGN,False
30,2026-02-02 14:52:55.150326,192.168.1.163,63329,172.16.0.105,80,UDP,528.5141226110976,4,2,9932,214,10146,11.352582160638015,19197.216433638885,BENIGN,False
31,2026-02-02 14:52:55.150331,172.16.0.133,57059,10.0.0.40,80,TCP,2344.3588090107637,2,0,264,0,264,0.8531117303003327,112.61074839964392,BENIGN,False
32,2026-02-02 14:52:55.150336,192.168.2.233,59700,192.168.2.19,443,TCP,5031.655292510908,3,3,6,546,552,1.192450525959195,109.70544838824596,BENIGN,False
33,2026-02-02 14:52:55.150341,192.168.1.237,59795,188.223.149.238,443,TCP,3816.62500158614,1,7,173,2793,2966,2.0960927512331713,777.1263875196983,BENIGN,False
34,2026-02-02 14:52:55.150347,192.168.1.192,55343,40.238.115.107,443,TCP,132.72924577520445,21,0,1407,0,1407,158.21682612109797,10600.527350113563,BENIGN,False
35,2026-02-02 14:52:55.150352,172.16.0.223,53149,208.67.222.222,80,TCP,234.90897034494856,12,28,12312,13860,26172,170.2787251643162,111413.36987501208,BENIGN,False
36,2026-02-02 14:52:55.150357,10.0.0.142,52260,114.180.147.93,7952,TCP,15911.483254575405,5,16,1095,16992,18087,1.3198015335221105,1136.7262065149719,BENIGN,False
37,2026-02-02 14:52:55.150362,10.0.0.189,64722,151.101.1.140,80,ICMP,80.54095551185054,2,0,2812,0,2812,24.832086822035855,34913.91407178241,BENIGN,False
38,2026-02-02 14:52:55.150366,192.168.1.85,62412,208.67.222.222,80,TCP,9355.794160846084,1,7,8,3570,3578,0.8550850801613324,382.4368021021559,BENIGN,False
39,2026-02-02 14:52:55.150372,192.168.2.30,56988,24.68.21.92,80,TCP,38.83802001361037,1,2,1040,360,1400,77.24389654644294,36047.15172167337,BENIGN,False
40,2026-02-02 14:52:55.150377,172.16.0.88,51146,23.4.149.84,80,TCP,3882.208479638741,8,2,3392,864,4256,2.575853422722561,1096.283216710722,BENIGN,False
41,2026-02-02 14:52:55.150383,192.168.1.29,57778,74.120.64.143,443,UDP,354.17149919785777,7,3,1827,558,2385,28.234908858133455,6734.025762664829,BENIGN,False
42,2026-02-02 14:52:55.150388,10.0.0.95,59423,192.168.2.217,443,TCP,9729.907783517421,1,20,571,18760,19331,2.158293836615209,1986.760864552791,BENIGN,False
43,2026-02-02 14:52:55.150393,192.168.1.205,52580,195.1.150.21,443,TCP,4676.464051438733,16,3,3440,591,4031,4.06289876090346,861.9760476422024,BENIGN,False
44,2026-02-02 14:52:55.150398,192.168.2.103,58435,192.168.1.50,53,TCP,7028.345863795978,4,2,5548,1908,7456,0.8536859335433198,1060.8470534164987,BENIGN,False
45,2026-02-02 14:52:55.150403,192.168.2.100,54439,8.8.8.8,45094,UDP,428.93434281426397,4,6,716,372,1088,23.313591386479803,2536.5187428490026,BENIGN,False
