flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,total_bytes,packets_per_sec,bytes_per_sec,label,is_attack
1,2026-02-02 14:52:55.181503,192.168.1.126,60099,142.250.80.46,443,TCP,1308.4286904404544,15,7,27780,3976,31756,16.81406114122595,24270.33298185324,BENIGN,False
2,2026-02-02 14:52:55.181520,10.0.0.77,56326,10.0.0.248,443,TCP,53.38422584558754,1,0,386,0,386,18.732125157953465,7230.600310970038,BENIGN,False
3,2026-02-02 14:52:55.181535,192.168.2.92,63888,45.215.42.216,49088,TCP,4010.0172885202596,13,2,8580,818,9398,3.7406322518712045,2343.6307935390387,BENIGN,False
4,2026-02-02 14:52:55.181547,172.16.0.112,64397,151.101.1.140,443,TCP,1246.2167025387498,1,3,268,177,445,3.2097146442118274,357.08075416856576,BENIGN,False
5,2026-02-02 14:52:55.181560,192.168.1.122,52424,10.0.0.20,3389,TCP,4472.362303625257,4,7,3088,5243,8331,2.459550289806239,1862.7739513068889,BENIGN,False
6,2026-02-02 14:52:55.181572,10.0.0.138,59516,192.168.2.51,21,TCP,3470.5085848866106,24,5,22896,3445,26341,8.356123977416265,7589.95385134903,BENIGN,False
7,2026-02-02 14:52:55.181584,192.168.2.167,55685,192.168.1.101,25,ICMP,120.76839843290384,2,1,214,57,271,24.840935533865935,2243.964509892556,BENIGN,False
8,2026-02-02 14:52:55.181605,172.16.0.105,62503,172.220.0.127,80,UDP,1613.619678855659,8,2,6240,648,6888,6.197247177285148,4268.66385571401,BENIGN,False
9,2026-02-02 14:52:55.181617,172.16.0.201,53686,10.0.0.23,80,TCP,2524.179989292519,1,17,635,4573,5208,7.1310287207549985,2063.2443098717795,BENIGN,False
10,2026-02-02 14:52:55.181629,172.16.0.238,65466,192.168.2.50,80,ICMP,13.617705207549331,1,2,723,656,1379,220.30143510059767,101265.22633457473,BENIGN,False
11,2026-02-02 14:52:55.181641,172.16.0.90,65361,29.201.130.14,58064,ICMP,739.6022902875588,4,2,440,2118,2558,8.112468118057325,3458.6155743317727,BENIGN,False
12,2026-02-02 14:52:55.181655,10.0.0.72,53684,104.90.96.81,443,TCP,7664.164384723996,7,1,4025,928,4953,1.0438189473004236,646.2544057473748,BENIGN,False
13,2026-02-02 14:52:55.181667,192.168.1.21,61586,10.0.0.66,443,TCP,4566.609798766472,1,3,367,2583,2950,0.8759233164787752,645.9934459030967,BENIGN,False
14,2026-02-02 14:52:55.181681,192.168.2.45,60126,219.45.161.63,443,TCP,1006.5641508072102,6,28,2280,3584,5864,33.77827431339953,5825.758840405142,BENIGN,False
15,2026-02-02 14:52:55.181696,172.16.0.14,55813,63.101.225.182,53,UDP,1748.7176937471029,6,4,7518,428,7946,5.718475907092975,4543.900955776078,BENIGN,False
16,2026-02-02 14:52:55.181709,192.168.1.122,58854,182.137.225.113,25,TCP,7379.60852276541,6,8,1134,3648,4782,1.8971196042190168,648.0018533839528,BENIGN,False
17,2026-02-02 14:52:55.181720,192.168.2.230,63774,20.190.128.0,80,TCP,1933.6521831926784,10,0,1910,0,1910,5.171560887175101,987.7681294504443,BENIGN,False
18,2026-02-02 14:52:55.181733,192.168.1.33,59394,13.107.42.14,443,UDP,1373.9927748808088,8,4,3360,3520,6880,8.733670379773997,5007.304351070425,BENIGN,False
19,2026-02-02 14:52:55.181747,192.168.1.144,55588,52.231.28.142,443,UDP,115.14845350778744,5,3,5075,162,5237,69.47553142308563,45480.41975783743,BENIGN,False
20,2026-02-02 14:52:55.181761,192.168.2.211,51712,15.120.84.99,80,TCP,4741.002459824577,1,8,1250,200,1450,1.8983326999440135,305.84249054653554,BENIGN,False
21,2026-02-02 14:52:55.181775,192.168.2.100,64535,180.130.217.199,443,TCP,1907.7787940436256,5,4,110,1120,1230,4.717528063578107,644.7288353556746,BENIGN,False
22,2026-02-02 14:52:55.181788,10.0.0.101,61355,58.23.107.10,443,TCP,3307.862970599031,3,1,2034,482,2516,1.2092399339249618,760.6119184388009,BENIGN,False
23,2026-02-02 14:52:55.181801,172.16.0.71,55192,172.217.14.206,443,UDP,1120.406188245421,6,1,156,105,261,6.247734146276131,232.9512303111529,BENIGN,False
24,2026-02-02 14:52:55.181813,172.16.0.210,50002,192.168.2.67,80,TCP,10725.910258583162,1,0,724,0,724,0.09323218038299108,67.50009859728554,BENIGN,False
25,2026-02-02 14:52:55.181830,172.16.0.40,64546,188.39.171.174,63621,TCP,25.953838875948048,15,2,4650,782,5432,655.0090751990546,209294.6644988979,BENIGN,False
26,2026-02-02 14:52:55.181845,172.16.0.76,49970,19.112.209.201,443,TCP,6898.548967883442,13,0,3250,0,3250,1.8844542613993442,471.11356534983605,BENIGN,False
27,2026-02-02 14:52:55.181855,192.168.1.228,63714,208.67.222.222,63888,TCP,5799.7212400840635,2,0,26,0,26,0.3448441601257048,4.482974081634162,BENIGN,False
28,2026-02-02 14:52:55.181867,10.0.0.50,60231,142.250.80.46,443,TCP,6433.187881213973,4,2,3488,12,3500,0.9326635737658219,544.0537513633961,BENIGN,False
29,2026-02-02 14:52:55.181877,192.168.2.168,58558,20.190.128.0,24584,TCP,6038.233075482787,1,14,254,33950,34204,2.4841704207982525,5664.571004865561,BENIGN,False
30,2026-02-02 14:52:55.181890,10.0.0.110,62067,31.255.24.155,443,TCP,4205.860939728464,7,7,931,2114,3045,3.3286882758667384,723.9897000010156,BENIGN,False
31,2026-02-02 14:52:55.181905,172.16.0.209,52243,119.209.242.168,80,UDP,2691.031723866197,4,5,3188,330,3518,3.3444421781359486,1307.3052869646963,BENIGN,False
32,2026-02-02 14:52:55.181915,10.0.0.156,58583,20.190.128.0,25041,TCP,3752.7068964267296,1,15,76,2565,2641,4.263589041615522,703.7586661816621,BENIGN,False
33,2026-02-02 14:52:55.181929,192.168.2.148,63120,78.96.122.115,80,TCP,7408.332500708486,18,6,3924,1278,5202,3.239595414717791,702.1823061400813,BENIGN,False
34,2026-02-02 14:52:55.181944,192.168.2.140,53197,24.143.200.153,53,TCP,6912.449276542659,14,4,4396,1044,5440,2.6039974081376416,786.985883348265,BENIGN,False
35,2026-02-02 14:52:55.181958,10.0.0.228,65255,115.81.51.241,53,TCP,143.78494471798749,6,5,3240,905,4145,76.50314169939588,28827.774758545085,BENIGN,False
36,2026-02-02 14:52:55.181970,10.0.0.70,60584,10.0.0.2,443,UDP,1056.830486722887,3,3,951,90,1041,5.6773532514238205,985.0207891220329,BENIGN,False
37,2026-02-02 14:52:55.181984,10.0.0.14,52078,135.16.121.34,80,TCP,21500.17555649085,1,1,616,227,843,0.09302249624637159,39.20898216784562,BENIGN,False
38,2026-02-02 14:52:55.181994,172.16.0.174,64778,142.250.80.46,3157,TCP,21028.991835660967,9,10,2763,4410,7173,0.9035145454657412,341.10051761188214,BENIGN,False
39,2026-02-02 14:52:55.182007,192.168.1.173,58177,133.84.145.178,53243,TCP,2405.3652790828205,22,13,1386,2132,3518,14.550804530339649,1462.5637239352825,BENIGN,False
