flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,total_bytes,packets_per_sec,bytes_per_sec,label,is_attack
1,2026-02-02 14:52:55.138150,192.168.1.190,52000,151.101.1.140,53,TCP,15050.607154587606,13,7,1092,469,1561,1.3288500453553969,103.71674603998872,BENIGN,False
2,2026-02-02 14:52:55.138168,192.168.1.8,62898,151.101.1.140,80,TCP,299.1938430434034,20,7,12300,56,12356,90.24249872709838,41297.64126933436,BENIGN,False
3,2026-02-02 14:52:55.138179,10.0.0.208,52501,195.81.216.88,53,TCP,17517.78737579156,17,1,1700,81,1781,1.0275270280352202,101.66809094059595,BENIGN,False
4,2026-02-02 14:52:55.138187,192.168.1.92,51734,155.135.22.187,3389,TCP,1813.7686473023857,7,4,1204,1512,2716,6.064720556483472,1497.43463921901,BENIGN,False
5,2026-02-02 14:52:55.138194,10.0.0.148,51766,1.1.1.1,443,TCP,751.1726436366934,3,3,912,1845,2757,7.987511327558297,3670.2614550130374,BENIGN,False
6,2026-02-02 14:52:55.138200,192.168.1.98,56017,10.0.0.117,443,TCP,1113.6793106434513,7,7,161,2618,2779,12.570943777263142,2495.332339786734,BENIGN,False
7,2026-02-02 14:52:55.138206,192.168.1.156,56348,137.125.83.119,42967,TCP,934.8062598870821,1,23,1685,15180,16865,25.673769025572238,18041.171442344825,BENIGN,False
8,2026-02-02 14:52:55.138213,192.168.1.59,59463,207.161.205.69,38194,TCP,1816.4392998437913,1,9,290,468,758,5.505276174579559,417.29993403313057,BENIGN,False
9,2026-02-02 14:52:55.138219,172.16.0.102,63190,165.234.73.68,443,TCP,3417.7361406707505,1,19,149,8246,8395,5.851826816588271,2456.3043062629263,BENIGN,False
10,2026-02-02 14:52:55.138225,172.16.0.93,52744,192.168.2.36,80,TCP,1867.7329082881183,7,6,714,8382,9096,6.96030997917964,4870.075351586001,BENIGN,False
11,2026-02-02 14:52:55.138230,192.168.2.203,49528,153.32.197.98,80,TCP,7461.226885690704,28,18,12740,18342,31082,6.165205897735097,4165.802819856572,BENIGN,False
12,2026-02-02 14:52:55.138237,192.168.1.175,57782,193.136.174.29,80,TCP,463.2772947655781,2,0,392,0,392,4.31706889717532,846.1455038463628,BENIGN,False
13,2026-02-02 14:52:55.138242,192.168.2.130,55669,192.168.1.223,443,TCP,1582.8022160441285,17,3,2788,936,3724,12.635817537573123,2352.7892254961153,BENIGN,False
14,2026-02-02 14:52:55.138247,192.168.2.139,59228,136.0.165.126,58611,TCP,759.4907391031443,16,0,34672,0,34672,21.066747988124035,45651.64289026478,BENIGN,False
15,2026-02-02 14:52:55.138253,192.168.2.225,53359,21.43.248.209,53,TCP,1107.6972025294297,1,13,613,6786,7399,12.638833038515365,6679.62326085537,BENIGN,False
16,2026-02-02 14:52:55.138259,192.168.2.68,59366,156.216.108.238,80,TCP,7376.072630217567,1,3,61,2385,2446,0.5422940093638984,331.6127867260239,BENIGN,False
17,2026-02-02 14:52:55.138266,10.0.0.113,56368,116.61.126.58,443,TCP,4881.50595856187,4,0,744,0,744,0.8194192599487128,152.4119823504606,BENIGN,False
18,2026-02-02 14:52:55.138448,192.168.1.59,65058,8.8.8.8,80,UDP,1307.8757839577409,8,2,456,24,480,7.645986050555328,367.00733042665576,BENIGN,False
19,2026-02-02 14:52:55.138467,192.168.2.186,63276,147.242.124.201,80,TCP,5058.647754637747,3,5,3570,570,4140,1.5814502981880154,818.400529312298,BENIGN,False
20,2026-02-02 14:52:55.138476,172.16.0.120,55430,14.50.31.104,80,TCP,2641.409874413363,14,2,560,272,832,6.0573711618888675,314.9833004182211,BENIGN,False
21,2026-02-02 14:52:55.138484,172.16.0.36,52360,72.236.127.224,22,UDP,175.80835850006284,11,4,3927,864,4791,85.3201754909431,27251.264051807226,BENIGN,False
22,2026-02-02 14:52:55.138490,192.168.1.249,62293,151.101.1.140,80,TCP,1255.8366913791224,1,3,1431,468,1899,3.1851275149536518,1512.139287724246,BENIGN,False
23,2026-02-02 14:52:55.138495,192.168.2.98,64061,192.168.1.253,52478,TCP,3657.2640288007597,12,3,21396,3936,25332,4.101426607944026,6926.48925549587,BENIGN,False
24,2026-02-02 14:52:55.138501,172.16.0.40,59428,151.101.1.140,443,ICMP,145.03064749610263,1,0,343,0,343,6.895094362913002,2365.0173664791596,BENIGN,False
25,2026-02-02 14:52:55.138507,192.168.2.15,53080,21.95.35.153,27485,TCP,1676.2483819054087,1,7,349,147,496,4.772562399676305,295.8988687799309,BENIGN,False
26,2026-02-02 14:52:55.138513,192.168.2.149,59518,192.168.1.159,443,TCP,1633.1296050518467,23,2,1794,536,2330,15.308031844298316,1426.708567888603,BENIGN,False
27,2026-02-02 14:52:55.138518,192.168.2.172,64134,10.0.0.62,443,TCP,21220.1849130763,2,8,1432,864,2296,0.47124942788966,108.19886864346593,BENIGN,False
28,2026-02-02 14:52:55.138526,192.168.1.3,51406,145.51.37.138,3389,TCP,6513.744642461581,4,8,2004,2448,4452,1.8422582797880656,683.4778218013723,BENIGN,False
29,2026-02-02 14:52:55.138532,10.0.0.73,49408,192.168.2.113,443,UDP,94.62915881162095,3,2,1074,204,1278,52.83783627363254,13505.350951540477,BENIGN,False
30,2026-02-02 14:52:55.138538,10.0.0.239,56053,35.135.59.228,80,TCP,5180.62170773846,1,9,244,9936,10180,1.9302702579234228,1965.0151225660443,BENIGN,False
31,2026-02-02 14:52:55.138543,192.168.2.176,50816,10.0.0.130,56474,TCP,739.7220671963947,4,0,5172,0,5172,5.407436356685041,6991.815209193758,BENIGN,False
32,2026-02-02 14:52:55.138549,172.16.0.213,54446,8.8.8.8,25,TCP,1491.6368503074445,10,13,4050,3913,7963,15.419302623999547,5338.430730213408,BENIGN,False
33,2026-02-02 14:52:55.138553,172.16.0.144,54036,192.168.1.29,60263,TCP,1384.3852271895157,1,18,1153,7218,8371,13.724503575188029,6046.727338310474,BENIGN,False
34,2026-02-02 14:52:55.138559,10.0.0.150,50459,111.65.21.79,64737,TCP,2070.2325490566195,4,10,4548,8720,13268,6.7625253048888805,6408.941838947548,BENIGN,False
35,2026-02-02 14:52:55.138564,192.168.2.175,62468,192.168.2.171,22,TCP,7567.810959654516,10,0,880,0,880,1.3213860723149613,116.2819743637166,BENIGN,False
36,2026-02-02 14:52:55.138569,192.168.2.237,62662,192.168.2.222,80,TCP,4662.469734827948,1,0,544,0,544,0.21447860401755542,116.67636058555016,BENIGN,False
37,2026-02-02 14:52:55.138576,10.0.0.201,64575,206.127.136.41,22,UDP,175.31581610419906,6,5,1374,615,1989,62.743911213704436,11345.239945823467,BENIGN,False
