flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,total_bytes,packets_per_sec,bytes_per_sec,label,is_attack
1,2026-02-02 14:52:55.166059,172.16.0.112,53144,172.16.0.204,443,UDP,178.0110004290677,7,3,4060,759,4819,56.17630357616419,27071.36069335352,BENIGN,False
2,2026-02-02 14:52:55.166099,192.168.1.22,64807,120.21.134.39,443,TCP,4219.84044062159,10,10,5700,790,6490,4.7395156953029165,1537.9728431257965,BENIGN,False
3,2026-02-02 14:52:55.166122,192.168.1.147,62864,192.168.1.93,443,UDP,125.74292562482647,1,2,972,178,1150,23.858201048629688,9145.643735308047,BENIGN,False
4,2026-02-02 14:52:55.166139,192.168.2.59,54636,175.189.162.222,443,TCP,723.0105731976454,2,28,1954,8540,10494,41.49316913488493,14514.310563382747,BENIGN,False
5,2026-02-02 14:52:55.166153,172.16.0.201,64302,192.168.1.102,53,TCP,2849.85880311695,2,2,986,350,1336,1.4035783090815295,468.79515523323084,BENIGN,False
6,2026-02-02 14:52:55.166167,172.16.0.62,53388,32.71.127.202,80,TCP,6536.5918377798425,8,22,664,19932,20596,4.5895476946575755,3150.8774773055807,BENIGN,False
7,2026-02-02 14:52:55.166183,10.0.0.179,54832,37.91.88.70,443,UDP,196.05706359560816,3,1,981,40,1021,20.40222334580351,5207.667509016346,BENIGN,False
8,2026-02-02 14:52:55.166194,192.168.1.1,60523,208.67.222.222,23247,TCP,685.2475520372548,17,7,28696,3304,32000,35.023839090920525,46698.45212122737,BENIGN,False
9,2026-02-02 14:52:55.166208,192.168.1.239,62385,59.139.119.79,443,TCP,18536.86597862977,7,5,434,805,1239,0.6473586211301415,66.83977763168711,BENIGN,False
10,2026-02-02 14:52:55.166221,192.168.1.13,57503,1.108.189.132,80,ICMP,159.01320931156985,4,1,4076,36,4112,31.44392859968646,25859.486880382145,BENIGN,False
11,2026-02-02 14:52:55.166234,192.168.2.225,65111,10.0.0.182,22,UDP,651.0873462972409,4,2,48,388,436,9.21535341474878,669.649014805078,BENIGN,False
12,2026-02-02 14:52:55.166247,192.168.2.20,64016,172.16.0.99,80,TCP,766.3903435487363,2,12,1266,3168,4434,18.267453547462022,5785.5635021033295,BENIGN,False
13,2026-02-02 14:52:55.166260,172.16.0.254,57965,60.74.234.219,443,TCP,19618.070475010747,14,0,5390,0,5390,0.7136277758729139,274.7466937110719,BENIGN,False
14,2026-02-02 14:52:55.166274,192.168.1.39,50354,107.167.246.35,53,UDP,1347.7684955717523,6,2,6564,834,7398,5.935737499641011,5489.073252793025,BENIGN,False
15,2026-02-02 14:52:55.166286,192.168.1.98,50757,192.168.2.49,80,TCP,140.50272872996464,10,16,900,1696,2596,185.0497868263469,18476.509484661405,BENIGN,False
16,2026-02-02 14:52:55.166298,192.168.2.123,52832,192.168.1.46,443,TCP,1513.1360806424352,3,11,132,20625,20757,9.252307296813642,13717.867325711484,BENIGN,False
17,2026-02-02 14:52:55.166311,172.16.0.202,61005,192.168.2.89,443,UDP,161.30379749734485,2,3,1434,456,1890,30.997410337362346,11717.021107522967,BENIGN,False
18,2026-02-02 14:52:55.166326,192.168.1.189,63592,200.199.21.97,80,TCP,2716.7684434755683,8,9,120,27,147,6.2574342840392605,54.10840233845714,BENIGN,False
19,2026-02-02 14:52:55.166340,192.168.2.221,51497,12.207.224.102,443,UDP,1374.8033607678167,5,4,755,1320,2075,6.546390747090967,1509.3067555793064,BENIGN,False
20,2026-02-02 14:52:55.166352,192.168.1.174,53065,10.0.0.42,80,TCP,2483.7509338151317,12,1,2016,752,2768,5.234019169559618,1114.4434662570018,BENIGN,False
21,2026-02-02 14:52:55.166372,172.16.0.126,53274,168.44.182.82,52981,ICMP,309.5568655191831,1,0,38,0,38,3.230424233437105,122.75612087060998,BENIGN,False
22,2026-02-02 14:52:55.166383,172.16.0.173,61046,172.217.14.206,53,TCP,2726.174480349045,7,8,1617,13688,15305,5.502215690200239,5614.094075900977,BENIGN,False
23,2026-02-02 14:52:55.166398,192.168.2.80,62099,13.209.237.47,443,TCP,1623.9689266182695,11,6,4114,18,4132,10.46818059222387,2544.383659239355,BENIGN,False
